DELEGACION DE TRANSITO,FECHA DEL ACCIDENTE,DIA DE LA SEMANA,LOCALIDAD ACCIDENTE,MUNICIPIO ACCIDENTE,ZONA,CALLE/AVENIDA DEL ACCIDENTE,COLONIA,CONDICIONES DE LA VIA,CONDICIONES NATURALES,SUPERFICIE DE LA VIA,ESTADO DE LA VIA,TANGENTE,TIPO DE CONTROL DE TRANSITO,RESTRICCIONES DE LA VIA,TIPO DE ACCIDENTE,FORMA DE ACCIDENTARSE,CONTRA QUE FUE EL IMPACTO,CANTIDAD DE VEHICULOS,TIPO DE VEHICULO,MARCA,ENTIDAD FEDERATIVA DEL VEHICULO,COLOR DEL VEHICULO,TIPO DE SERVICIO PARA EL QUE SE OCUPAN LOS VEHICULOS,EDAD CONDUCTOR,SEXO CONDUCTOR,TIPO LICENCIA,LICENCIA VIGENTE,CAUSA ATRIBUIBLE AL CONDUCTOR
1,72,4,7,3,2,636,101,0,3,0,2,0,3,9,1,0,3,2.0,0,0,26,136,5,32.0,1,0,1,4
1,84,7,7,3,2,407,17,0,3,1,2,1,4,9,1,8,3,2.0,0,1,26,28,5,31.0,1,1,2,9
1,84,7,7,3,2,407,17,0,3,1,2,1,4,9,1,8,3,2.0,0,0,19,31,5,30.0,1,0,2,9
1,84,7,7,3,2,407,17,0,3,1,2,1,4,9,1,8,3,2.0,0,0,19,31,5,30.0,1,0,2,9
1,96,3,7,3,2,162,61,0,3,1,2,2,4,9,1,8,3,2.0,4,4,19,31,5,48.0,1,0,2,9
1,96,3,7,3,2,162,61,0,3,1,2,2,4,9,1,8,3,2.0,0,6,26,31,5,32.0,2,2,2,9
1,96,3,7,3,2,162,61,0,3,1,2,2,4,9,1,8,3,2.0,0,6,26,31,5,32.0,2,2,2,9
1,108,5,7,3,2,360,61,0,3,1,2,0,3,9,1,8,3,2.0,1,0,26,31,5,34.0,2,2,2,9
1,108,5,7,3,2,360,61,0,3,1,2,0,3,9,1,8,3,2.0,1,3,26,31,5,38.0,1,1,2,9
1,108,5,7,3,2,360,61,0,3,1,2,0,3,9,1,8,3,2.0,1,3,26,31,5,38.0,1,1,2,9
1,120,6,7,3,2,233,296,0,1,1,1,1,4,6,1,8,4,2.0,1,3,26,31,5,38.0,1,1,2,9
1,120,6,7,3,2,233,296,0,1,1,1,1,4,6,1,8,4,2.0,0,4,26,82,5,40.0,1,0,2,16
1,120,6,7,3,2,233,296,0,1,1,1,1,4,6,1,8,4,2.0,0,3,26,170,5,49.0,1,0,2,16
1,132,3,7,3,2,407,296,0,3,0,2,0,4,9,1,5,3,2.0,0,3,26,170,5,49.0,1,0,2,16
1,132,3,7,3,2,407,296,0,3,0,2,0,4,9,1,5,3,2.0,0,0,6,9,5,28.0,1,1,2,16
1,132,3,7,3,2,407,296,0,3,0,2,0,4,9,1,5,3,2.0,3,4,26,15,5,27.0,1,1,1,16
1,1,2,7,3,2,150,234,0,3,1,2,0,4,10,2,9,5,2.0,3,4,26,136,3,24.0,1,2,1,9
1,1,2,7,3,2,150,234,0,3,1,2,0,4,10,2,9,5,2.0,3,4,26,136,3,24.0,1,2,1,9
1,1,2,7,3,2,150,234,0,3,1,2,0,4,10,2,9,5,2.0,4,3,26,110,3,17.0,1,2,2,9
1,12,6,7,3,2,93,27,0,3,0,2,0,4,10,2,5,5,2.0,1,3,26,11,3,54.0,2,0,2,5
1,12,6,7,3,2,93,27,0,3,0,2,0,4,10,2,5,5,2.0,4,4,26,31,3,88.0,1,1,2,5
1,24,6,7,3,2,373,11,0,3,1,2,2,4,10,2,5,6,2.0,4,0,26,15,3,88.0,1,1,2,16
1,24,6,7,3,2,373,11,0,3,1,2,2,4,10,2,5,6,2.0,4,4,26,85,3,88.0,1,1,2,16
1,36,4,7,3,2,358,276,0,3,1,2,1,4,10,2,9,5,2.0,1,4,26,15,3,69.0,1,1,2,10
1,36,4,7,3,2,358,276,0,3,1,2,1,4,10,2,9,5,2.0,4,0,6,15,3,42.0,2,1,2,10
